"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"11","4_121_11",0,0.165837878968803,0.0808470236118688,0.100993735089585,0.0550876360965518,0.0808470236118688,0.876621300115066,0.988720227226998,0.812654711935608,0.811869301022871,0.58707666912497,0.378266991155349,0.826008765672605,0.189622446593307,0.337968335836481,0.267745655070891,0.0734179907166849,0.743311278204556,0.311317777851215,0.907036058949731,0.00603845564241653,0.613732551565432,0.345105056879853,0.172917115567199,2,30,FALSE
"12","4_122_3",0,0.230882268637907,0.0698880862501932,0.108388185536508,0.0555545101123851,0.0698880862501932,1,0.30861333681668,0.442390252728196,0.142421243596665,0.649660588002936,0.425511578021708,0.383112727504624,0.918350478450734,0.0428340301473498,0.646254689179536,0.136446460909396,1,0.547762704556714,0.680162853948268,0.0210229448712954,0.642658078017625,0.106243733603675,0.0344680513474032,2,30,FALSE
"13","4_122_11",0,0.259700850933535,0.0698139814246099,0.110809814128595,0.0555888556579945,0.0698139814246099,0.860899504399524,0.349641640585341,0.764793385169575,0.364763123139527,0.477489587244278,0.311767613762558,0.254265282250856,0.860308115259457,0.243498540648668,0.97460112520249,0.792866065038526,0.246674120967,0.101456354126451,0.886887629230032,0.0433176742763416,0.694419517497202,0.713280544072346,0.261674767393026,2,30,FALSE
"14","4_123_1",0,0.201236187311464,0.070334366716769,0.103690306828709,0.0552156767798807,0.070334366716769,0.813567638742272,0.105228379737081,0.643861980312122,0.0727452424865518,0.115434873714102,0.659303830926836,0.612375119665744,0.698017503893943,0.0213241088100702,0.732061539738541,0.456577581198464,0.937496826089285,0.785922936597892,0.771569058658119,0.0345708415042492,0.777712614557812,0.268478274215612,0.17938797583938,3,41,FALSE
"15","4_123_10",0,0.181468452760575,0.0703602721645365,0.110974236321608,0.0559073941978923,0.0703602721645365,0.897390109971098,0.29314313476662,0.940577547418357,0.236016246579169,0.585220003494732,0.276562847017616,0.279247322184862,1,0.175239205544749,0.522940271741444,0.863609486249395,0.855788178929688,0.281359811165495,0.653664041881408,0.0325206631857248,0.782609948720745,0.00137720739327889,0.193277177534447,3,41,FALSE
"16","4_124_3",0,0.246658839765745,0.0702428278816033,0.108485333166556,0.0556398885345661,0.0702428278816033,1,0.30861333681668,0.032412128736305,0.444104121542296,0.649660588002936,0.425511578021708,0.383112727504624,0.918350478450734,0.0424483410273433,1,0.0584095631885323,1,0.547762704556714,0.680162853948268,0.000104161169834436,0.518763548457472,0.704927699000553,0.0344680513474032,2,30,FALSE
"17","4_124_4",0,0.173402658544247,0.0779971954439086,0.101220553242912,0.057100006363875,0.0779971954439086,0.991586900932746,0.249710912193919,0.42927339931349,0.278499226747205,0.625521465597414,0.530569188791268,0.624405360896995,0.777312667556612,0.0561405826126757,0.682639738089576,0.153152918617709,0.922458490564033,0.485954873527968,0.696567337532131,0.0302002115332327,0.843643753315564,0.152427716102864,0.254891518598932,2,30,FALSE
"18","4_124_14",0,0.162306839565653,0.0704998954702001,0.102572820260431,0.0556492617592249,0.0704998954702001,0.959796166424702,0.205061105246056,0.578601597578612,0.167103447491912,0.185127028524198,0.643035185336227,0.489172686084961,0.635621761912759,0.0748335582229023,0.748433017912606,0.417907930481582,0.899722774919066,0.424018764152805,0.78897480716508,0.0297304353584468,0.689371672608805,0.237988375297934,0.17056632329672,3,41,FALSE
"19","4_125_10",0,0.213155585068716,0.0696798906815207,0.10986623147533,0.0553048860981085,0.0696798906815207,0.897390109971098,0.29314313476662,0.940577547418357,0.164705768145659,0.295576232649291,0.554591820611272,0.279247322184862,1,0.175239205544749,0.522940271741444,0.863609486249395,0.669912253909287,0.281359811165495,0.653664041881408,0.0325206631857248,0.675979951986557,0.31904763282417,0.127447744378288,3,41,FALSE
"20","4_126_3",0,0.175808239725002,0.07480195317927,0.100569641963847,0.0559119742908649,0.07480195317927,0.970663666740331,0.401022020861094,0.141381205318064,0.783014074281387,0.18996311445652,0.425511578021708,0.383112727504624,0.122010324337534,0.0680479635006192,0.92190066374128,0.283578738801132,1,0.344985120029308,0.758783229577218,0.00707015356982466,0.471748085082433,0.810323412438904,0.0344680513474032,2,30,FALSE
"21","4_126_6",0,0.165533863615101,0.0774496146381533,0.104456985908794,0.0565952066693396,0.0774496146381533,0.873497324328924,0,1,0.418653775089116,0.615031503143617,0.605595752030363,0.815163890492969,0.818815775076769,0.0763302886458238,0.408099130906076,0.458271627460408,0.914525354839857,0.37009927247032,0.801333117154153,0.051820610057688,0.980133576910395,0.203263067264425,0.064724189245207,3,41,FALSE
"22","4_126_11",0,0.272031674778285,0.0698240902259904,0.110936042314014,0.0555990342803978,0.0698240902259904,0.860899504399524,0.349641640585341,0.378467501645626,0.364763123139527,0.477489587244278,0.311767613762558,0.254265282250856,0.860308115259457,0.243498540648668,0.960963653576377,0.792866065038526,0.246674120967,0.101456354126451,0.886887629230032,0.034088025798899,0.694419517497202,0.713280544072346,0.261674767393026,2,30,FALSE
"23","4_126_14",0,0.168088608403967,0.0705919954479243,0.102435707565919,0.0556905695314307,0.0705919954479243,0.959796166424702,0.205061105246056,0.578601597578612,0.167103447491912,0.185127028524198,0.713789877219517,0.489172686084961,0.635621761912759,0.0748335582229023,0.748433017912606,0.417907930481582,0.899722774919066,0.424018764152805,0.78897480716508,0.0297304353584468,0.689371672608805,0.237988375297934,0.17056632329672,3,41,FALSE
"24","4_127_1",0,0.178368767174704,0.0703526056222328,0.105026424542901,0.0552679339084991,0.0703526056222328,0.813567638742272,0.105228379737081,0.933442740768437,0.0708270989787314,0.203794236992876,0.588549139215755,0.612375119665744,0.698017503893943,0.0213241088100702,0.551667342801611,0.813138825812715,0.753648409652359,0.785922936597892,0.771569058658119,0.0368030237578564,0.766999238060014,0.333325680174394,0.144893112733553,3,41,FALSE
"25","4_127_7",0,0.215413607658513,0.0703442791665815,0.103853354589418,0.0552312376070393,0.0703442791665815,0.921497158562974,0.192008162621978,0.534857636646586,0.304303462130905,0.62870462068617,0.634684503416603,0.451310199460644,0.715176103089059,0.103488796063882,0.784754885341977,0.192107212619604,0.942840364695824,0.479458514632306,0.813331870536184,0.0363154392981637,0.663295146292377,0.2847429275783,0.148150682676343,2,30,FALSE
"26","4_127_8",0,0.210060412582856,0.0706789260565102,0.11338873683826,0.0559183016368028,0.0706789260565102,0.896460331787653,0.472915607961212,0.791654547399919,0.409510808398067,0.55071401364085,0.308983858526475,0.322032720890841,0.946524552790304,0.358038508072668,0.919756540871449,0.835325983033489,0.729924248785919,0.28575499630309,0.902428823909453,0.0504120171650538,0.700159563998141,0.146994422840217,0.205700035187696,2,30,FALSE
"27","4_127_9",0,0.204537817232006,0.0727414476328919,0.112479813025998,0.0562851907150943,0.0727414476328919,0.713690753875521,0.324131508873026,0.925970458492642,0.493631211495967,0.0795170013253056,0.619688673562533,0.702791114338342,0.982904121244162,0.171786266688028,0.939840538947268,0.213217262859909,0.916641293874272,0.864547448918308,0.862304269511,0.012168487611977,0.998610786988576,0.0237620440342554,0.157375688168653,3,41,FALSE
"28","4_127_15",0,0.197359443752206,0.0743210766096284,0.102913309961993,0.0555741966309749,0.0743210766096284,0.846697291392169,0.177444379026298,0.563180261918692,0.05004975252489,0.208590114434028,0.599871069817607,0.577334605339816,0.693870291577755,0,0.701893454631086,0.358370690576781,0.908308743406204,0.781968697458774,0.792027993088028,0.0700878119785915,0.919171223165204,0.216272433923136,0.139963261262703,3,41,FALSE
"29","4_128_1",0,0.181717575723509,0.0720922690833115,0.105862228243908,0.0557413200532554,0.0720922690833115,0.826113509369312,0.0298742256133971,0.840935202000387,0.624415579095169,0.445200054695276,0.559170711742485,0.564303814464394,0.702561132349434,0.00791845775841036,0.683007602399932,1,0.567790912330294,0.633617094671902,0.73922478464529,0.037148047667349,0.449362362410938,0.110019779003268,0.339023741133353,3,41,FALSE
"30","4_128_2",0,0.172729926262696,0.0748517941215192,0.104578745523172,0.0559720312385525,0.0748517941215192,0.910978475568326,0.297505777403836,0.848471074916961,0.492079421296283,0.63750191602813,0.588639264985587,0.318790727251864,0.828655848203585,0.266796647558751,0.864677437689792,0.539920231992332,0.972900466550031,0.268210752865834,0.664809466180545,0.0297788108846644,0.741752163648848,0.193648700811772,0.281714663915949,2,30,FALSE
