"","ctv_S_alphas","ctv_S_gammas","ctv_S_thetas","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"33",2.9982836815,0.90260346517,0.63856898585,2.2698669935,0.78212217564,0.07721752395,1.5947517005,0.5287763646,0.15163705912,0.56280398175,0.39828443653,0.24421081495,1.3936894505,0.96345685042,0.24754736016,0.62961045881,0.873647327964222,0.820717664687292,0.912183988953313,0.08144791015112,0.106089265066294,0.0809219176886426,0.106089265066294,0.636889996838754,0,14010.4632450261,0.0001183935367,64155849.2093182,1e-04,1,0.0865049362182617,24.0995621681213,"2_134_10",2,134,10,2005,FALSE,TRUE,4,0.11452995737422,2,FALSE
"34",1.36554001225,0.98179238988,0.37126920805,2.8925147185,0.31898766548,0.19252555263,1.26348932275,0.368901594776,0.26409634564,0.53523659995,0.57811873964,0.37908193426,0.5344743728,0.90422431972,0.29866010721,0.58271323118,0.869585970782477,0.845785671710725,0.858043256992858,0.0766006007450147,0.0977972700437782,0.11018550182915,0.0977972700437782,0.703933677264835,0,21802.0384998124,0.0002398533036,64155849.2093182,1e-04,1,0.0733859539031982,21.9047181606293,"3_122_5",3,122,5,1820,FALSE,TRUE,4,0.143457892945631,2,FALSE
"35",1.35867754675,0.73512095795,0.40691855785,1.81624870825,0.73493505951,0.16361201403,1.56661273875,0.37672889735,0.25843203202,0.500000248766754,0.318673626566,0.39279110668,0.82148599825,0.758182739,0.24313477044,0.65365823327,0.875384703749303,0.768532879538698,0.896700642889262,0.0821489809505459,0.115196071020811,0.0846922850641783,0.115196071020811,0.517294682961345,0,56863.5413048558,0.0007864131222,64155849.2093182,1e-04,1,0.0810990333557129,22.0984342098236,"3_123_10",3,123,10,1840,FALSE,TRUE,4,0.0663492417093185,2,FALSE
"36",1.36554001225,0.98179238988,0.305940100465,2.8925147185,0.31898766548,0.19252555263,1.26348932275,0.368901594776,0.26409634564,0.53523659995,0.57811873964,0.37908193426,0.5344743728,0.90422431972,0.29866010721,0.58271323118,0.87038325567822,0.846345072984917,0.857175686969052,0.0763660932679499,0.0976197326498196,0.110521688845246,0.0976197326498196,0.705074819028519,0,21802.0384998124,0.0002398533036,64155849.2093182,1e-04,1,0.082597017288208,22.2579791545868,"3_124_5",3,124,5,1850,FALSE,TRUE,4,0.143946173820694,2,FALSE
"37",1.36554001225,0.98179238988,0.305940100465,2.8925147185,0.31898766548,0.19252555263,1.26348932275,0.368901594776,0.26409634564,0.53523659995,0.56681537456,0.37908193426,0.5344743728,0.90422431972,0.29866010721,0.58271323118,0.870384298551445,0.846340105862444,0.857178131749547,0.0763657860533436,0.097621310488092,0.110520742919375,0.097621310488092,0.704280067373808,0,21802.0384998124,0.0002398533036,64155849.2093182,1e-04,1,0.07828688621521,22.5943422317505,"3_126_5",3,126,5,1880,FALSE,TRUE,4,0.143627644707185,2,FALSE
"38",1.630104563,0.37500102967,0.322391031905,1.1595421935,0.30022268321873,0.26830643373,1.254713075,0.41770345629,0.23967372061,0.532273967575,0.53245008864,0.3710540221,0.626983615525,0.83447756264,0.24931281069,0.55422843449,0.846855395127527,0.791398722261497,0.818371769479836,0.0836308024786432,0.101518960491185,0.124448198202165,0.101518960491185,0.641310591111021,0,135776.327687673,0.002016553155,64155849.2093182,1e-04,1,0.0903489589691162,22.7969102859497,"3_127_11",3,127,11,1901,FALSE,TRUE,4,0.120286117251714,2,FALSE
"39",1.36554001225,0.98179238988,0.305940100465,2.8925147185,0.31898766548,0.19252555263,1.26348932275,0.60425322459,0.17854587601,0.509484879855,0.51654514651,0.37908193426,0.5344743728,0.90422431972,0.29866010721,0.58271323118,0.870572923521685,0.846688671514422,0.856925224705999,0.0763101996607995,0.0975105244075677,0.110618553960516,0.0975105244075677,0.699859544211731,0,21802.0384998124,0.0002398533036,64155849.2093182,1e-04,1,0.126897811889648,23.0253922939301,"3_128_5",3,128,5,1910,FALSE,TRUE,3,0.141865966983999,2,FALSE
"40",1.35867754675,0.73512095795,0.40691855785,2.3368364975,0.96742661118,0.008191325715,2.51388961525,0.42047713503,0.25843203202,0.500000248766754,0.318673626566,0.39279110668,0.82148599825,0.758182739,0.24313477044,0.65365823327,0.873801508834646,0.774831083611311,0.894589346745787,0.0826691713726424,0.11361802385347,0.0855534039487832,0.11361802385347,0.474816670453185,0,56863.5413048558,0.0007864131222,64155849.2093182,1e-04,1,0.125778913497925,23.2650101184845,"3_129_10",3,129,10,1930,FALSE,TRUE,2,0.0493897851240172,2,TRUE
"41",1.630104563,0.37500102967,0.322391031905,1.1595421935,0.30022268321873,0.26830643373,1.254713075,0.41770345629,0.28849187608,0.532273967575,0.53245008864,0.3710540221,0.626983615525,0.83447756264,0.24931281069,0.55422843449,0.846885113566682,0.791421909244149,0.818195879868507,0.0836226876073961,0.10151331818684,0.124508441723579,0.10151331818684,0.636789448970827,0,135776.327687673,0.002016553155,64155849.2093182,1e-04,1,0.122274875640869,23.265456199646,"3_129_11",3,129,11,1931,FALSE,TRUE,3,0.11852346183486,2,FALSE
"42",1.36554001225,0.98179238988,0.305940100465,2.37192692925,0.57865066376,0.23567110761,0.68378755355,0.56050498691,0.16997090635,0.50174147223975,0.61127931135,0.37507434985,1.045729898,0.79427628124,0.29866010721,0.58271323118,0.870214210224991,0.842368895324785,0.854352696595519,0.0764158751637411,0.0988747340001672,0.111608601124177,0.0988747340001672,0.659430989886062,0,21802.0384998124,0.0002398533036,64155849.2093182,1e-04,1,0.1180579662323,23.460978269577,"3_130_5",3,130,5,1940,FALSE,TRUE,3,0.125809705410943,2,FALSE
"43",1.54189713825,0.5187912636,0.42589170895,2.40816724525,0.97720445702,0.00302820456,2.1408574865,0.57963719441,0.36665432731,0.516629600985,0.41794098407,0.370787881,2.730500836,0.92733907166,0.24440314509,0.6568603415,0.860981580132587,0.729731818360292,0.771358562537612,0.0866675637143376,0.124539777406578,0.126053690681507,0.124539777406578,0.441923505376535,0,123996.134310847,0.001832916407,64155849.2093182,1e-04,1,0.085644006729126,21.4199299812317,"5_103_4",5,103,4,1534,FALSE,TRUE,4,0.0477051728059285,1,FALSE
"44",1.54189713825,0.5187912636,0.42589170895,2.40816724525,0.97720445702,0.00302820456,2.1408574865,0.57963719441,0.36665432731,0.516629600985,0.40744635503,0.37272737314,2.6627522405,0.96121593566,0.26273227158,0.65643733679,0.880672808170974,0.781785282183733,0.830045848456194,0.0802952999251239,0.111905812482711,0.108678587115034,0.111905812482711,0.516419056981684,0,27596.8300682348,0.000330186004,64155849.2093182,1e-04,1,0.0787220001220703,21.7430119514465,"5_105_4",5,105,4,1564,FALSE,TRUE,3,0.0691330831060936,1,FALSE
"45",1.53750876675,0.53924200314,0.43462080225,2.41508702225,0.96924417714,0.016713137577,1.82105155925,0.41796219141,0.37630328116,0.516629600985,0.40744635503,0.37272737314,2.6627522405,0.96121593566,0.26273227158,0.65546198648,0.880380245168943,0.788302143088191,0.8119373827289,0.0803936725271806,0.109277210054576,0.109944570413277,0.109277210054576,0.496986638533391,0,27596.8300682348,0.000330186004,64155849.2093182,1e-04,1,0.125224828720093,22.1519968509674,"5_107_4",5,107,4,1594,FALSE,TRUE,1,0.0619828491203974,1,FALSE
"46",1.586941362,0.48914728105,0.354606787,2.806200227,0.92380452953,0.04410968346,1.9523853775,0.76629424681,0.36262095079,0.50444204664,0.4225464387,0.34395433288,2.91563982625,0.95840769568,0.15123048882,0.65918914934,0.814991619224735,0.652913483661433,0.670317215720349,0.0999806867586938,0.14113330004675,0.151365266362646,0.14113330004675,0.394140623793836,0,326455.840204804,0.004988980217,64155849.2093182,1e-04,1,0.083184003829956,23.4146108627319,"5_113_9",5,113,9,1689,FALSE,TRUE,4,0.049218644850824,1,FALSE
"47",1.62662364375,0.51167385904,0.48785138675,2.7713312485,0.95171759023,0.03282497391,0.83358258675,0.45129912952,0.34774739569,0.5185600149825,0.46454571035,0.36966687211,2.74989272025,0.90558839789,0.22731348888,0.65720729063,0.841653841995176,0.698469798752062,0.782762639412309,0.0924962614697413,0.131545511526213,0.122869857214479,0.131545511526213,0.405565425492513,0,207750.553214152,0.003138530723,64155849.2093182,1e-04,1,0.0771889686584473,23.560791015625,"5_114_2",5,114,2,1697,FALSE,TRUE,4,0.0366322261038091,1,FALSE
"48",1.7001077815,0.7524997169,0.3714160453,2.87625716075,0.80294391539,0.11168581641,1.70432054725,0.78071036699,0.36122739814,0.5045657417175,0.4602084624,0.36038183623,2.946129023,0.94321253402,0.14297592828,0.65503662647,0.876063132155322,0.769458687316883,0.722168902407222,0.0818315302719573,0.114036990789708,0.133632771634799,0.114036990789708,0.478234089968285,0,58062.4549021079,0.0008051025093,64155849.2093182,1e-04,1,0.0829308032989502,23.7662930488586,"5_115_12",5,115,12,1722,FALSE,TRUE,3,0.0618601650399764,1,FALSE
"49",1.586941362,0.48914728105,0.354606787,2.806200227,0.92380452953,0.04410968346,1.9523853775,0.76629424681,0.36262095079,0.50444204664,0.4225464387,0.34395433288,2.91563982625,0.95840769568,0.15123048882,0.65918914934,0.814991619224735,0.652913483661433,0.670317215720349,0.0999806867586938,0.14113330004675,0.151365266362646,0.14113330004675,0.394140623793836,0,326455.840204804,0.004988980217,64155849.2093182,1e-04,1,0.0829720497131348,24.1018300056458,"5_117_9",5,117,9,1749,FALSE,TRUE,4,0.049218644850824,NA,NA
"50",2.626908844,0.52904887208,0.6276814801,2.76568028825,0.9183191,0.003292919841,1.19413665275,0.77176036929,0.39573274588,0.5164201178,0.40633621474,0.37909619197,2.61772534875,0.97656745338,0.26530346103,0.65751558758,0.776745382552886,0.610235738972764,0.764430996305809,0.109829912965305,0.149558683138175,0.127949079971705,0.149558683138175,0.373620724470217,0,495845.530680959,0.007629528713,64155849.2093182,1e-04,1,0.0855162143707275,24.2639739513397,"5_118_3",5,118,3,1758,FALSE,TRUE,4,0.0341316375968386,1,FALSE
"51",2.17152329325,0.57800150224,0.34317859775,2.59497492425,0.9687415231,0.024264950748,2.36873874125,0.87637643287,0.39152516209,0.50967040008,0.44232955821,0.36761329465,2.815236981,0.8863630675,0.21812837367,0.65607696779,0.872689165859853,0.764943938221327,0.766711099272059,0.0829379117530194,0.116143886076459,0.127328356426378,0.116143886076459,0.47711346743051,0,67369.5738821827,0.0009501874844,64155849.2093182,1e-04,1,0.0866680145263672,24.2712860107422,"5_118_6",5,118,6,1761,FALSE,TRUE,4,0.0594333721397692,1,FALSE
"52",2.011536786,0.57017013905,0.46158347305,2.65032664875,0.8909107827,0.04394562681,1.37616636775,0.73219405705,0.33172267996,0.5045657417175,0.4602084624,0.38851382434,2.882859059,0.8929247366,0.012108616446,0.65891044802,0.688919464264702,0.498984746332398,0.771657083249331,0.129645316889284,0.169564955205823,0.125971374176505,0.169564955205823,0.355328928246359,0,1007390.5288562,0.01560380018,64155849.2093182,1e-04,1,0.0827169418334961,24.4603290557861,"5_119_12",5,119,12,1782,FALSE,TRUE,1,0.0321890863111455,1,FALSE
"53",2.20755867225,0.55428631613,0.313849339835,2.91340130975,0.89331828969,0.07954748928,1.924911503,0.97429792521,0.38829846088,0.5000796433966,0.44232955821,0.36761329465,2.815236981,0.8863630675,0.21812837367,0.65607696779,0.872556241499165,0.76598985589355,0.76556337106329,0.0829811979070585,0.115885198051009,0.127641185379971,0.115885198051009,0.452161638691562,0,67369.5738821827,0.0009501874844,64155849.2093182,1e-04,1,0.0913910865783691,24.6345160007477,"5_120_6",5,120,6,1791,FALSE,TRUE,2,0.0514246054858307,1,FALSE
