"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","ctv_S_thetas","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","search_S_thetas","ctv_S_alphas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","search_S_alphas","ctv_S_gammas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","search_S_gammas","cluster","n","top_sol"
"15","1_125_13",0,0.671190720539755,0.100693564961163,0.118858184459507,0.0769682324219556,0.100693564961163,0.43111515213344,0.483133162256777,0.772176397416806,0.703307274782826,0.846167249155386,0.203711442735524,0.157304801065461,0.732647832672777,0.22222071931124,0.741071310729488,0.662553774024848,0.499915213078902,0.818270704690701,0.468926429670698,0.13291862295923,4,24,FALSE
"16","1_127_1",0,0.668986369926953,0.092834755097528,0.118002385707872,0.0776691275587663,0.092834755097528,0.0515384084972622,0.54214094123841,0.977580017179875,0.694318317648849,0.528551764749179,0.224716776262526,0.0388396293566634,0.566865625942588,0.08498526603293,0.496838940317016,0.846608815205277,0.181022766124689,1,0.855841910441537,0.279026764051884,4,24,FALSE
"17","1_128_5",0,0.750611156507259,0.095467991363641,0.11941535365738,0.0777905211563539,0.095467991363641,0.337842987093688,0.282049627269637,0.716655903367892,0.741248048429044,0.921087910485132,0,0.095672595206028,0.0742744077640367,1,0.657617809899128,0.790870076859756,0.830618269055522,0.759816165280951,0.670822916943118,0.136173951462602,4,24,FALSE
"18","1_130_1",0,0.687046990984316,0.097394132668255,0.110556994880469,0.0769190007361805,0.097394132668255,0.235483740086679,0.700075798975301,0.890694920117132,0.784661557465171,0.413972076252833,0.203888108148422,0.217533360494304,0.0145498155147838,0.534076405122856,0.27915406804012,0.403792990565411,0.211532827029505,0.410194302409613,0.608776611839979,0.463463944495988,4,24,FALSE
"19","1_130_5",0,0.712019914745685,0.0978187811289444,0.130236055794351,0.0819829113781874,0.0978187811289444,0.0622144719325856,0.173588852174612,0.716655903367892,0.741248048429044,0.778130229055594,0,0.319334349987138,0.33006404473988,1,0.382672070786348,0.790870076859756,0.0874107010251919,0.759816165280951,0.670822916943118,0.0680589346353691,4,24,FALSE
"20","1_132_5",0,0.635501673130265,0.100260529635027,0.136864318419615,0.0812214695706547,0.100260529635027,0.0622144719325856,0.0476654052322164,0.854619252604795,0.948958517900488,0.646772025998574,0,0.343878755354823,0.332053745943158,0.0542035951126802,0.693843402489356,0.790870076859756,0.00165706303501254,0.989480114331532,0.844919009070047,0.302489306861417,4,24,FALSE
"21","1_133_9",0,0.693271510510753,0.093871630751029,0.10920130328755,0.0769720806315836,0.093871630751029,0.665198876759438,0.793025611971376,0.814814738866459,0.727005816123227,0.824577802293554,0.383060134523092,0.109641008569864,0.158640904563209,0.202056403772905,0.632311878228907,0.52970655941444,0.0350818441565407,0.309119408008485,0.609680398082003,0.228726353469636,4,24,FALSE
"22","1_133_12",0,0.620633626587681,0.107970804701904,0.13561255210128,0.0850064542837116,0.107970804701904,0.444468547148656,0.418259536233446,0.829778643670267,0.904716186934437,0.93642927570329,0.366416495381282,0.312908919772505,0.328532861826687,0.163347551470298,0.761491827539965,0.670748051144858,0.0279950487791384,0.183086911948506,0.622606143012206,0.287774836041863,4,24,FALSE
"23","1_134_1",0,0.67222617759769,0.0985468995051626,0.108594740274632,0.0776150690761889,0.0985468995051626,0.669053702447376,0.905311019906401,0.586721495779373,0.784661557465171,0.413972076252833,0.252475603267284,0.188282841063351,0.288587263973011,0.296157530795123,0.27915406804012,0.573576183898402,0.115472927996524,0.879380569540979,0.725085762602768,0.463463944495988,4,24,FALSE
"24","1_134_5",0,0.63003735162133,0.100003728450263,0.13283034464006,0.0815554855073373,0.100003728450263,0.0622144719325856,0.166801212508894,0.870325117731655,0.9596711793077,0.646772025998574,0,0.434051324878673,0.345380438432107,0.122996894285033,0.566171294173978,0.790870076859756,0.395230490355566,0.519845140598218,0.879954653759141,0.0887597851844818,4,24,FALSE
"25","2_125_4",0,0.52220817898359,0.108320756151819,0.0745466956608096,0.0820790557835422,0.108320756151819,0.640419143160529,0.410129087009575,0.286000027824263,0.306806677350424,0.858714967218513,0.712874136911352,0.9042128263505,0.546184280800169,0.277969436530557,0.0365875591719178,0.696191631091211,0.988670883232591,0,0.569580580440318,0.747557416622142,2,26,FALSE
"26","2_127_4",0,0.53460965561725,0.107637182188751,0.0760574247155274,0.0819334978550226,0.107637182188751,0.640419143160529,0.410129087009575,0.286000027824263,0.280451049928786,0.767377174011204,0.491836647785689,0.9042128263505,0.546184280800169,0.277969436530557,0.139954753916968,0.767823778148189,0.988670883232591,0,0.427310094110236,0.602308561114787,2,26,FALSE
"27","3_100_5",0,0.58387125582906,0.106893626463557,0.129097108775449,0.0824733531601156,0.106893626463557,0.248367049805132,0.18189373480608,0.191474614171962,0.83905696091076,0.254630863634719,0.350205552984774,0.600176260829615,0.582164491304574,0.0868228713469417,0.118706088584765,0.47891056631883,0.65654031572445,0.644809059901932,0.51096235226382,0.579807798594668,3,29,FALSE
"28","3_114_5",0,0.598564359758908,0.104593367300844,0.0846111577890208,0.0791260068059116,0.104593367300844,0.0483104980412996,0.688274829948142,0.261085537160051,0.823009904569393,0.311232351825985,0.338679222078269,0.538515274582367,0.206440019932178,0.301829903778494,0.0516080766006401,0.285226166671773,0.235473332837564,0.736322843282217,0.206537026493959,0.115961559714841,3,29,FALSE
"29","3_115_8",0,0.622338958483178,0.107659206866874,0.117098270801375,0.0816843812866399,0.107659206866874,0.177261126201846,0.509766608836654,0.0765046671389384,0.885974350150754,0.279850460897941,0.243556123822487,0.107293564943132,0.384850849847332,0.509553863683127,0.0348335736148936,0.947717158424174,0.577500811766764,0.745940758098243,0.258898720625823,0,3,29,FALSE
"30","3_115_10",0,0.625787630916397,0.0979849903218144,0.120460222201407,0.0808225549223209,0.0979849903218144,0.218682181158693,0.853022865033892,0.0948879367647997,0.792303826958044,0.170929936866277,0.144941252212106,0.109336564063405,0.645972139182092,0.012571323891464,0.505303021288521,0.608930983536659,0.447931965808196,0.334508999095317,0.697287338916704,0.173402937263237,3,29,FALSE
"31","3_117_10",0,0.616894059762631,0.100787279867658,0.118913260295953,0.0786403240644699,0.100787279867658,0.242430076054155,0.853022865033892,0.0948879367647997,0.778525628420621,0.412794875716405,0.309152692875577,0.502008321456304,0.645972139182092,0.012571323891464,0.16430886597952,0.504914649696798,0.614818645802358,0.334508999095317,0.697287338916704,0.600088819142109,3,29,FALSE
"32","3_119_10",0,0.61966529108229,0.101307187424918,0.120461544956854,0.07834365461206,0.101307187424918,0.119829269152149,0.384149048425451,0.167126817443126,0.778525628420621,0.412794875716405,0.309152692875577,0.635658313148409,0.91321399916935,0.0128543108609414,0.16430886597952,0.163905551615502,0.670723354371754,0.0584343195951487,0.649398693744239,0.600088819142109,3,29,FALSE
"33","3_121_4",0,0.383932143041779,0.196030586177811,0.153382058772351,0.165300449452551,0.196030586177811,0.00210489870506559,0.0149998657619582,0.143595187228901,0.93479792264707,0.411400097877917,0.565239768560294,0.571786108763641,0.387061644530571,0.0422792435102875,0.990617982627237,0.177463708864416,0.984818055724475,0.998588694085921,0.212562189855281,0.891071512668647,1,19,FALSE
"34","3_121_10",0,0.615587599257364,0.101391821580097,0.119868377961677,0.0788163565309029,0.101391821580097,0.242430076054155,0.760948361134764,0.0948879367647997,0.778525628420621,0.412794875716405,0.309152692875577,0.73154494775125,0.645972139182092,0.012571323891464,0.16430886597952,0.504914649696798,0.577529916721336,0.334508999095317,0.697287338916704,0.600088819142109,3,29,FALSE
"35","3_123_3",0,0.660395859642138,0.101254117622479,0.126190135039588,0.077852883460395,0.101254117622479,0.119063604555735,0.432443997864128,0.464495369318449,0.992196106524325,0.940075354718242,0.211956870808192,0.316129242593293,0.53369708954812,0.317095541809969,0.544913952269318,0.539036317339194,0.984800899876126,0.190951267784507,0,0.643565015298188,3,29,FALSE
"36","3_123_10",0,0.623789652281879,0.101879268336854,0.118735032040323,0.0785995924199157,0.101879268336854,0.263006607689681,0.991819007093204,0.349632868376794,0.778525628420621,0.412794875716405,0.556026396958141,0.817463943430049,0.387050356975285,0.161456313299135,0.16430886597952,0.0599135149782453,0.637178872042748,0.142839565753055,0.697287338916704,0.600088819142109,3,29,FALSE
"37","3_124_8",0,0.395645895028789,0.144345552049104,0.110305357307757,0.101879195106626,0.144345552049104,0.0278751415221048,0.372430358699968,0.0875876490031526,1,0,0.360744984447478,0.691597542162798,0.822387242060846,0.320787914265066,0.0316771881103249,0.330750481577079,0.854471920941289,0.598417493608387,0.335916761475537,0.333275069763075,3,29,FALSE
"38","3_127_2",0,0.689583310217763,0.0989833659811867,0.126237763115441,0.0761054894497212,0.0989833659811867,0.0907892796190363,0.200282811343987,0.321345067558102,0.774786551967579,0.274271169716482,0.292295214458813,0.89386064044184,0.969009820312097,0.0579131571927082,0.591550005115797,0.173020351933133,0.824394362332057,0.677469102411334,0.534107406385669,0.24988931629306,3,29,FALSE
"39","3_127_8",0,0.61514773906699,0.102418821714159,0.123240426998078,0.0816928491448395,0.102418821714159,0.234145865041096,0.308720953110063,0.0765046671389384,0.885974350150754,0.279850460897941,0.328875667174985,0.501599721652318,0.236277766704466,0.509553863683127,0.0348335736148936,0.572671884696167,0.700446425989647,0.426069443068465,0.258898720625823,0,3,29,FALSE
"40","3_127_10",0,0.617707387896275,0.10339203778934,0.113448638816619,0.0792498106271921,0.10339203778934,0.304214220013046,0.632049272321289,0.0948879367647997,0.778525628420621,0.412794875716405,0.369570679459155,0.660817795409576,0.452559931069926,0.012571323891464,0.16430886597952,0.371858359352711,0.479481757969977,0.334508999095317,0.697287338916704,0.600088819142109,3,29,FALSE
"41","3_129_5",0,0.635403951139648,0.10372642574329,0.13452996849176,0.0859847670288036,0.10372642574329,0.0923681277601684,0.0669468211788602,0.255652480577476,0.878877498774123,0.362324194379338,0.347041238329324,0.491119566949813,0.401575940181078,0.218081967462517,0.299210481873262,0.785935308584329,0.247064572782889,0.597289164742498,0.506453952722981,0.699506233721002,3,29,FALSE
"42","3_130_1",0,0.340532029191082,0.132688908855765,0.101402486295746,0.0982683836511458,0.132688908855765,0.200098115582335,0.0245702638951915,0.382603067427154,0.979978825676213,0.0432246094792122,0.213541156406137,0.984736789425837,0.194506488371002,0.00811455518515853,0.00725309386107303,0.909304082083784,0.690686613348541,0.748543398431842,0.230952421030478,0.166860049559759,3,29,FALSE
"43","3_130_8",0,0.432436227667254,0.144825243836281,0.104995916683258,0.101994346350915,0.144825243836281,0.0278751415221048,0.372430358699968,0,1,0,0.360744984447478,0.691597542162798,1,0.636704709656371,0.0316771881103249,0.330750481577079,0.854471920941289,0.320524170991568,0.335916761475537,0.333275069763075,3,29,FALSE
"44","3_130_10",0,0.578679906673952,0.106041423699607,0.0818000882620534,0.0808382184452879,0.106041423699607,0.349093802551917,0.12639775355704,0.0774912155066356,0.969963983386208,0.738875479567277,0.507085580080803,0.547571618999342,0.684401415578096,0.579659373897402,0.0783755406270828,0.448940697091992,0.62696639830894,0.0726488641568205,1,0.0455050119466573,3,29,FALSE
"45","3_131_5",0,0.576534931814771,0.105391687533108,0.130017113079602,0.0865892699171936,0.105391687533108,0.0923681277601684,0.0669468211788602,0.255652480577476,0.902706900622409,0.404714028039436,0.347041238329324,0.491119566949813,0.401575940181078,0.218081967462517,0.0867833071630066,0.785935308584329,0.247064572782889,0.597289164742498,0.363454968262307,0.137661909139731,3,29,FALSE
"46","3_131_8",0,0.587290919972756,0.105641389490963,0.129454716510146,0.0842540189180464,0.105641389490963,0.0870307399490636,0.303824765617445,0.0765046671389384,0.885974350150754,0.0833478359567645,0.110111370804558,0.306339609744892,0.398946553741284,0.509553863683127,0,0.750507337189696,0.826065111796377,0.426069443068465,0.258898720625823,0.00576979558976784,3,29,FALSE
"47","3_132_11",0,0.474075189867228,0.11139542228782,0.0827838379991655,0.0837747643195246,0.11139542228782,0.198262604606703,0.201698192762068,0.614888718822684,0.993794582811099,0.641457574971588,0.542222339635967,0.927352632801928,0,0.244145612952224,0.105628503805979,0.750439984551037,0.774651309337783,0.424820440731315,0.554798927065525,0.00591814567540178,3,29,FALSE
"48","3_132_12",0,0.361585530581379,0.13598852676554,0.10244635203001,0.0973963044667936,0.13598852676554,0.00961703855783333,0.43145375001827,0.112622379201904,0.825938066006545,0.10787023718284,0.301951171966427,0.927788736594098,0.824794472851519,0.124643485364379,0.0309287855830459,0.335395731116572,0.960530605973578,0.574322032175494,0.0364715672040543,0.0697726660760876,3,29,FALSE
"49","3_133_8",0,0.58025096878998,0.105744901523355,0.122357936342197,0.084951064458587,0.105744901523355,0.235137720807463,0.741888892225421,0.206443911363731,0.885974350150754,0.0833478359567645,0.110111370804558,0.00322233109639163,0.403154814064673,0.0656227692254316,0,0.750507337189696,0.254712363137347,0.320301014034074,0.867033400692385,0.00576979558976784,3,29,FALSE
"50","3_134_8",0,0.433905313143478,0.143135945349233,0.113283903428798,0.100901796066582,0.143135945349233,0.0278751415221048,0.330588389999921,0.0875876490031526,1,0,0.360744984447478,0.687686420535446,0.822387242060846,0.320787914265066,0.0316771881103249,0.330750481577079,0.382333352493632,0.598417493608387,0.335916761475537,0.333275069763075,3,29,FALSE
"51","3_134_11",0,0.378497785027267,0.10981027206781,0.0895579058851471,0.0838296787428632,0.10981027206781,0.198262604606703,0.0488829900215088,0.979738146856917,0.988051523504213,0.641457574971588,0.542222339635967,1,0.645135917103589,0.131512747863023,0.0574153707531182,0.750439984551037,0.864883368266432,0.180292964799561,0.511178911703645,0.00569425055921764,2,26,TRUE
"52","3_134_12",0,0.525794808170436,0.10450589755363,0.0856438691754583,0.0799942189183693,0.10450589755363,0.00961703855783333,0.43145375001827,0.112622379201904,0.825938066006545,0.295665441579446,0.301951171966427,0.927788736594098,0.824794472851519,0.124643485364379,0.0608918207857185,0.335395731116572,0.960530605973578,0.574322032175494,0.0364715672040543,0.199493028769194,3,29,FALSE
"53","4_105_7",0,0.434754598476699,0.143341932449075,0.134620111150991,0.099326385545092,0.143341932449075,0.829016294301044,0,0.812850367935569,0.97682846138234,0.686346063346885,0.896477434057747,0.909227074609332,0.715204123186426,0.118651167283264,0.855923188168351,0.210109234875204,0.667708804293373,0.679176860658103,0.0427075596816996,0.760650296650544,1,19,FALSE
